名称 (Name),详情链接 (Link),图片链接 (Image),目 (Order),科 (Family),属 (Genus)
黄翅鹦哥 / Sulphur-winged Parakeet / Pyrrhura hoffmanni,https://www.huaniao8.com/niao/84481.html,https://hn8i.7img.cn/ZTc0YjY1ZWM2YWY1ZjQ0ZWI4NzIyZWU0ZDZjMTBjMmEvMjUwLzMyMC82MThi.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrrhura
靓鹦鹉 / Superb Parrot / Polytelis swainsonii,https://www.huaniao8.com/niao/84412.html,https://hn8i.7img.cn/Zjg0MjY4ZGUyZDdiMzU1NjNiZGVlZWY0MTA2NjYzZmUvMjUwLzMyMC85ZWQw.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Polytelis
红眉鹦哥 / Red-browed Amazon / Amazona rhodocorytha,https://www.huaniao8.com/niao/84196.html,https://hn8i.7img.cn/ZjBlNmUwZjdlNDY5ZjdlMTk1ZDhkYmE1YmFkODcxNjYvMjUwLzMyMC84NWNl.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
红喉鹦哥 / Red-throated Parakeet / Psittacara rubritorquis,https://www.huaniao8.com/niao/84210.html,https://hn8i.7img.cn/MTg3Njc3MjU1MTMzOTJiYTRmNWU1NDk5MTIxMDUyMGIvMjUwLzMyMC9iYTQ5.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Psittacara
栗尾鹦哥 / Maroon-tailed Parakeet / Pyrrhura melanura,https://www.huaniao8.com/niao/84181.html,https://hn8i.7img.cn/ODAzZjM3NGFhY2U4MDQzZDFkOGYxMjU0YjZmNDEzOWEvMjUwLzMyMC9hODQy.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrrhura
麦耶氏鹦鹉 / Meyer’s Parrot / Poicephalus meyeri,https://www.huaniao8.com/niao/84177.html,https://hn8i.7img.cn/MDk1YzE3NzY4ZjZkMDM3M2YyY2M2ODU0ZDUwNGM4YjQvMjUwLzMyMC83YzAy.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Poicephalus
黑耳鹦哥 / Black-winged Parrot / Hapalopsittaca melanotis,https://www.huaniao8.com/niao/84101.html,https://hn8i.7img.cn/NTczNmE1ZjIyYjE3ZWU4NDFkMmNhMWI0N2YyYjRjYmUvMjUwLzMyMC80MTNh.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Hapalopsittaca
尼亚牡丹鹦鹉 / Lilian’s Lovebird / Agapornis lilianae,https://www.huaniao8.com/niao/83969.html,https://hn8i.7img.cn/NjU0ZjQwMDc2ZWM2YjQ5NzJhZDU5MjhhMWEzNWY1OTQvMjUwLzMyMC8yNmVj.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Agapornis
歌鹦鹉 / Song Parrot / Geoffroyus heteroclitus,https://www.huaniao8.com/niao/83891.html,https://hn8i.7img.cn/dGh1bWIvMjUwLzMyMC82ZTM0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Geoffroyus
蓝冠鹦哥 / Blue-crowned Parakeet / Thectocercus acuticaudatus,https://www.huaniao8.com/niao/83791.html,https://hn8i.7img.cn/OGI4YTRhZTJiOTJjMmVmM2U3ZjJlMDFkZTJmYTk2YjEvMjUwLzMyMC9iYWI0.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Thectocercus
杂色鹦鹉 / Varied Lorikeet / Psitteuteles versicolor,https://www.huaniao8.com/niao/83823.html,https://hn8i.7img.cn/MzU4OTcyM2MwNzVhMTI1NTRiMGZmYmMzZDAyY2I3NzQvMjUwLzMyMC8xMzNk.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psitteuteles
金帽鹦哥 / Golden-capped Parakeet / Aratinga auricapillus,https://www.huaniao8.com/niao/84076.html,https://hn8i.7img.cn/ZDlkZGE4YjVlMTJkZjRiYWVhNGU5MzFmM2RjMjMzZTUvMjUwLzMyMC80Yzk0.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Aratinga
杜氏凤头鹦鹉 / Solomons Cockatoo / Cacatua ducorpsii,https://www.huaniao8.com/niao/83725.html,https://hn8i.7img.cn/NjY3YjU0YTI3NTI4ZTI4ZDQ4ZTk0YzI4YTJiMTU1OTQvMjUwLzMyMC83YjU0.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Cacatua
马拉巴鹦鹉 / Blue-winged Parakeet / Psittacula columboides,https://www.huaniao8.com/niao/83661.html,https://hn8i.7img.cn/NWJkMzBiOWIxY2NkMzM4YjM1MWRhZGQ3Yzg2YTE5OTEvMjUwLzMyMC8zNGM5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittacula
淡头玫瑰鹦鹉 / Pale-headed Rosella / Platycercus adscitus,https://www.huaniao8.com/niao/83588.html,https://hn8i.7img.cn/NGIxNzZkNDBhMTI3YzQxNzNjOTI1YzQ5MWYwOTVlOWUvMjUwLzMyMC81MDE5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Platycercus
红眼鹦哥 / Red-lored Amazon / Amazona autumnalis,https://www.huaniao8.com/niao/83761.html,https://hn8i.7img.cn/MGJiNWIxN2ZhZDMxZWJmMDQ2YzZlYTc0ZWQ0NzUzNmEvMjUwLzMyMC81NTI3.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
橙额鹦鹉 / Malherbe’s Parakeet / Cyanoramphus malherbi,https://www.huaniao8.com/niao/83577.html,https://hn8i.7img.cn/ZjBhOTgwZDcyZjg0Y2Y0MjUzZTA3Y2ExZGFiMDRiNTcvMjUwLzMyMC9lNmMz.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Cyanoramphus
古巴红鹦鹉 / Cuban Macaw / Ara tricolor,https://www.huaniao8.com/niao/83472.html,https://hn8i.7img.cn/OTM3MzRlZDA1OGIxYTNiODdkYmM0OGViZDg4ZWVjMzUvMjUwLzMyMC8wZWQ1.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Ara
鳞颈鹦哥 / Scaly-naped Amazon / Amazona mercenarius,https://www.huaniao8.com/niao/83445.html,https://hn8i.7img.cn/MzhkMTA3MmY5Y2FlNDA3MWM0NzgxZTQ0YzQ0NDczZTMvMjUwLzMyMC9kYTUx.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
橙额鹦哥 / Orange-fronted Parakeet / Eupsittula canicularis,https://www.huaniao8.com/niao/83476.html,https://hn8i.7img.cn/NzdmZWRkMjI3M2YzYjg2YmZiOGU3ODdmMmNlNmRmZDEvMjUwLzMyMC8wMzI5.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Eupsittula
白颈鹦哥 / White-breasted Parakeet / Pyrrhura albipectus,https://www.huaniao8.com/niao/83377.html,https://hn8i.7img.cn/MjBjNzkzNDgyYjVmZjcyMDU1YzQyMjdhMThmNzU5YTIvMjUwLzMyMC80Yzc0.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrrhura
蓝额鹦哥 / Blue-fronted Parrotlet / Touit dilectissimus,https://www.huaniao8.com/niao/83383.html,https://hn8i.7img.cn/NmNlODA3N2YyNTg1N2IwNWNhZDhiOTllOGViYmRjYjgvMjUwLzMyMC9mOWRl.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Touit
鲁氏鹦鹉 / Rüppell’s Parrot / Poicephalus rueppellii,https://www.huaniao8.com/niao/83271.html,https://hn8i.7img.cn/YjM3M2VjODkwODcxYzcyZjNhZDU4ZjZhZGEyOWFkMzgvMjUwLzMyMC80NmMx.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Poicephalus
鹫鹦哥 / Vulturine Parrot / Pyrilia vulturina,https://www.huaniao8.com/niao/83122.html,https://hn8i.7img.cn/ZDFlZDBiODQyNTA4ODhhN2FmZmFlMGRmMDhiNzdiYjUvMjUwLzMyMC8wMmFh.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrilia
黑冠鹦鹉 / Hooded Parrot / Psephotellus dissimilis,https://www.huaniao8.com/niao/83327.html,https://hn8i.7img.cn/MzcwMmY4YzlmNzI5NWM0MWNiZGNmYzgxYjA3ZTBlMTUvMjUwLzMyMC9jYWZh.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psephotellus
红脸牡丹鹦鹉 / Red-headed Lovebird / Agapornis pullarius,https://www.huaniao8.com/niao/83016.html,https://hn8i.7img.cn/NmE0YTRjMjU1MjA1NDA3MDU2Y2U3MzU2NzAwYTNkOTAvMjUwLzMyMC83NjYw.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Agapornis
翠绿鹦鹉 / Orange-billed Lorikeet / Neopsittacus pullicauda,https://www.huaniao8.com/niao/82988.html,https://hn8i.7img.cn/ZmQ4OTIxZTJlNGE3MWJhYWI4ZmJhMjg1ZThlNGU4YmQvMjUwLzMyMC85MDA5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Neopsittacus
布莱氏鹦鹉 / Nicobar Parakeet / Psittacula caniceps,https://www.huaniao8.com/niao/82959.html,https://hn8i.7img.cn/Njk4MGFiY2Q3OWRhN2NlOTY3YTdmMWY1ZjBjMWZiMzgvMjUwLzMyMC8xODcw.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittacula
白额绿鹦哥 / White-fronted Amazon / Amazona albifrons,https://www.huaniao8.com/niao/82895.html,https://hn8i.7img.cn/YTk0MTEyM2E1NmE5NzdlMmNjYTM1NTI2N2QzNjk4ZmYvMjUwLzMyMC85MjU3.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
爱氏果鹦鹉 / Edwards’s Fig Parrot / Psittaculirostris edwardsii,https://www.huaniao8.com/niao/82869.html,https://hn8i.7img.cn/OTI2MTU5MWE1OGE1ZjdmMWExN2Y4Zjc4ODM3MjZkZmEvMjUwLzMyMC9mYTRl.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittaculirostris
金鹦哥 / Golden Parakeet / Guaruba guarouba,https://www.huaniao8.com/niao/82878.html,https://hn8i.7img.cn/ZDQ5YjVkMmMzNWI4NDk0ZDFiM2FkMDQ0ZTk5ZGVlMjQvMjUwLzMyMC80YWNm.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Guaruba
青腰鹦哥 / Sapphire-rumped Parrotlet / Touit purpuratus,https://www.huaniao8.com/niao/82748.html,https://hn8i.7img.cn/NDE1YjNmMzgyMGY5MjkzYzRjZjAxOTMyYTA3MTE4NDkvMjUwLzMyMC9mYjFj.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Touit
红腹鹦鹉 / Red-bellied Parrot / Poicephalus rufiventris,https://www.huaniao8.com/niao/82768.html,https://hn8i.7img.cn/ZGIyMjY0MmI1MzEwMzhjNWZmYTFjODQ1N2FiY2UyNmEvMjUwLzMyMC8yZDg1.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Poicephalus
蓝腰短尾鹦鹉 / Blue-rumped Parrot / Psittinus cyanurus,https://www.huaniao8.com/niao/82641.html,https://hn8i.7img.cn/NDBhNzM5MGM0NmZlMTM4YzFmMjMyNWIzZDE0MDg5NWUvMjUwLzMyMC9lZDE5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittinus
火红肩鹦哥 / Fiery-shouldered Parakeet / Pyrrhura egregia,https://www.huaniao8.com/niao/82637.html,https://hn8i.7img.cn/ZGRlYWVhZjQ4NTg3YWQxNmUyNzAxY2ZlMWJjOWZlMmQvMjUwLzMyMC80MzYy.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrrhura
赤额鹦哥 / Rose-fronted Parakeet / Pyrrhura roseifrons,https://www.huaniao8.com/niao/82723.html,https://hn8i.7img.cn/NTk1MGJlMWUzMTgwZTUwNmI0YjE5NTY4Y2U4MTIwOTcvMjUwLzMyMC85NzBm.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrrhura
红肩金刚鹦鹉 / Red-shouldered Macaw / Diopsittaca nobilis,https://www.huaniao8.com/niao/82573.html,https://hn8i.7img.cn/M2Q5ZDM3OTcxZDU2Y2VmNWZlZThjMzM4OWNhOWViNTIvMjUwLzMyMC9jOWVk.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Diopsittaca
波多黎各鹦哥 / Puerto Rican Amazon / Amazona vittata,https://www.huaniao8.com/niao/82489.html,https://hn8i.7img.cn/MDk5OGY1MzAzZWI0NWI3MTA4ZDIwNWYzOTM5MTNjZmQvMjUwLzMyMC9kYmFj.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
斑点鹦哥 / Southern Mealy Amazon / Amazona farinosa,https://www.huaniao8.com/niao/82474.html,https://hn8i.7img.cn/MjJkY2RmMjRhNDQyNzRhOTdkZWZmZGNiOWQ0Zjg4ZWYvMjUwLzMyMC85YTNl.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
黄绿鹦鹉 / Citrine Lorikeet / Trichoglossus flavoviridis,https://www.huaniao8.com/niao/82458.html,https://hn8i.7img.cn/NjE0NTkxZGVjZDA0YzRlNzFhYTUwZjM3YzQzNzJlOWIvMjUwLzMyMC9kYmM2.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Trichoglossus
